"","x"
"Pos.Neg",1.67347037251791
"LoveA",3.41385249725759
"OptimismA",3.63491310787087
"AgressivenessA",2.6288245565771
"ContemptA",2.70392268302919
"SubmissionA",3.16017961787282
"AweA",2.3898226413083
"DissaprovalA",1.90635092068418
"RemorseA",2.47605431400227
"Agressiveness",1.5253542999817
"Anger",2.48359050979783
"Anticipation",1.35363430963447
"Awe",0.419960688093461
"Contempt",1.93075226213895
"Disgust",2.82944745223273
"Dissaproval",0.395238838370284
"Fear",2.9830572952702
"Joy",3.33671244951304
"Love",2.27824609445087
"Negative",3.11401302866807
"Optimism",3.11236795613348
"Positive",2.080888517401
"Remorse",1.21182976297785
"Sadness",1.57658806515382
"Submission",0.543755579645
"Surprise",0.479368259146453
"Trust",1.38284168430302
"Action",1.00161687800334
"Adventure",0.613611231402671
"Animation",0.0299506519169198
"Children",0.0460059949528826
"Comedy",0.434045459192837
"Crime",0.234457537261999
"Drama",0.209489094521159
"Fantasy",0.143687393869712
"Film.Noir",0.0880469504333934
"Horror",0.126164406857363
"Musical",0.509643889665086
"Mystery",0.187889629269449
"Romance",0.86305813297701
"Sci.Fi",0.176034961487379
"Thriller",0.218784558299831
"War",0.0189532531218735
"Western",0.187129225205207
"Actor.1",9.13953442358075
"Actor.2",10.0645979502695
"Actor.3",10.1623148384951
"directors",7.11956187566347
"country",1.40038389952085
